ph,turbidity,temperature,potability
7.73,35.16,27.83,True
6.82,33.69,28.93,True
6.54,99.32,26.91,True
7.96,27.65,29.95,True
6.1,124.6,16.61,False
5.34,143.0,18.46,False
6.47,116.53,16.62,False
7.43,22.95,25.71,True
5.96,142.09,19.81,False
7.31,97.87,25.21,True
7.49,20.71,28.36,True
4.97,109.38,15.59,False
4.57,149.37,19.46,False
7.66,11.44,25.12,True
7.04,90.39,27.05,True
6.68,28.0,28.69,True
6.83,32.08,25.27,True
7.18,18.46,26.72,True
6.28,136.97,19.23,False
7.1,31.8,26.4,True
5.69,107.15,18.44,False
7.72,21.07,27.53,True
7.43,92.65,28.09,True
7.65,68.2,27.76,True
7.38,43.46,29.63,True
7.76,71.14,25.96,True
7.34,36.78,25.34,True
7.16,91.7,29.34,True
7.37,76.87,26.99,True
5.27,104.99,19.76,False
6.2,123.63,17.86,False
6.91,83.17,28.27,True
7.62,61.82,28.15,True
6.76,65.8,29.67,True
7.15,73.59,27.24,True
7.77,63.74,29.26,True
6.0,119.37,18.08,False
6.24,116.94,15.21,False
7.21,34.28,29.76,True
6.62,27.4,26.98,True
7.97,68.34,28.39,True
5.09,104.93,18.73,False
6.81,42.69,25.61,True
7.03,74.21,27.54,True
7.72,22.71,26.52,True
6.45,125.36,15.98,False
4.66,134.63,18.81,False
5.64,145.07,15.07,False
4.78,121.92,16.49,False
4.68,101.61,17.27,False
4.91,122.05,15.59,False
5.28,136.12,15.64,False
7.14,38.55,27.48,True
7.91,78.07,28.24,True
7.72,6.02,27.48,True
4.59,134.66,16.27,False
5.25,138.52,18.32,False
6.67,7.85,27.36,True
7.19,87.78,26.05,True
4.8,131.28,17.47,False
6.88,54.29,25.29,True
6.02,144.32,17.73,False
5.28,131.99,15.22,False
7.87,84.92,27.77,True
6.94,28.44,26.82,True
7.2,73.03,28.17,True
4.97,110.34,17.47,False
5.62,142.5,16.92,False
4.92,120.24,15.76,False
7.99,29.14,28.81,True
6.69,87.92,27.05,True
5.97,127.32,16.6,False
7.22,21.66,26.57,True
4.51,133.58,18.05,False
7.42,89.14,26.83,True
6.82,47.41,25.9,True
7.77,84.57,26.37,True
7.63,2.85,27.16,True
7.77,13.63,25.64,True
4.89,104.33,18.44,False
5.7,105.47,18.65,False
4.55,134.17,18.22,False
6.07,143.53,19.32,False
6.16,110.41,16.32,False
7.72,93.21,28.4,True
7.62,19.01,27.5,True
7.74,26.4,27.7,True
7.54,0.86,28.33,True
5.64,147.25,15.74,False
4.94,134.49,18.62,False
7.24,32.79,28.03,True
5.76,138.89,19.86,False
5.07,125.12,17.95,False
7.79,1.26,28.28,True
6.74,31.43,28.36,True
6.35,126.62,15.38,False
7.54,60.59,28.55,True
6.27,122.4,18.46,False
5.79,136.99,18.07,False
5.69,112.45,17.64,False
5.88,148.92,19.66,False
4.9,134.42,17.93,False
7.27,39.76,28.88,True
6.65,43.14,28.15,True
6.41,135.33,19.41,False
7.02,88.0,29.79,True
6.45,139.43,18.46,False
5.29,121.36,18.85,False
5.13,141.01,16.72,False
6.79,82.82,25.73,True
5.07,102.95,17.17,False
6.17,122.0,19.36,False
5.65,131.78,16.09,False
5.55,111.29,15.91,False
7.36,26.09,27.61,True
6.61,93.71,29.62,True
